Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
MT	577	647	1	MT-TF
MT	648	1601	1	MT-RNR1
MT	1602	1670	1	MT-TV
MT	1671	3229	1	MT-RNR2
MT	3230	3304	1	MT-TL1
MT	3307	4262	1	MT-ND1
MT	4263	4331	1	MT-TI
MT	4329	4400	-1	MT-TQ
MT	4402	4469	1	MT-TM
MT	4470	5511	1	MT-ND2
MT	5512	5579	1	MT-TW
MT	5587	5655	-1	MT-TA
MT	5657	5729	-1	MT-TN
MT	5761	5826	-1	MT-TC
MT	5826	5891	-1	MT-TY
MT	5904	7445	1	MT-CO1
MT	7446	7514	-1	MT-TS1
MT	7518	7585	1	MT-TD
MT	7586	8269	1	MT-CO2
MT	8295	8364	1	MT-TK
MT	8366	8572	1	MT-ATP8
MT	8527	9207	1	MT-ATP6
MT	9207	9990	1	MT-CO3
MT	9991	10058	1	MT-TG
MT	10059	10404	1	MT-ND3
MT	10405	10469	1	MT-TR
MT	10470	10766	1	MT-ND4L
MT	10760	12137	1	MT-ND4
MT	12138	12206	1	MT-TH
MT	12207	12265	1	MT-TS2
MT	12266	12336	1	MT-TL2
MT	12337	14148	1	MT-ND5
MT	14149	14673	-1	MT-ND6
MT	14674	14742	-1	MT-TE
MT	14747	15887	1	MT-CYB
MT	15888	15953	1	MT-TT
MT	15956	16023	-1	MT-TP
KI270741.1	44347	130844	1	
KI270741.1	9471	39242	-1	
KI270442.1	380608	380726	1	5S_rRNA
KI270711.1	4612	29626	-1	
GL000009.2	56140	58376	-1	
KI270744.1	51009	51114	-1	U6
KI270748.1	68953	85760	1	
GL000224.1	102473	119953	1	
KI270748.1	84835	92032	-1	
GL000224.1	30534	33767	1	
GL000224.1	67572	97360	-1	
GL000221.1	198	80044	-1	
GL000220.1	105287	105376	1	
KI270753.1	43135	44491	1	
KI270755.1	26350	27723	1	
KI270734.1	59711	60316	1	
GL000214.1	30345	106038	1	
KI270442.1	217250	217401	-1	5_8S_rRNA
GL000220.1	112025	112177	1	RNA5-8SN5
KI270744.1	90023	112250	-1	
GL000009.2	35394	38152	1	
KI270442.1	384845	385228	1	
GL000220.1	155997	156149	1	5_8S_rRNA
GL000220.1	149259	149348	1	
GL000009.2	5121	35307	1	
KI270734.1	138082	161852	-1	
KI270442.1	378910	380941	-1	
GL000220.1	4413	7660	-1	
KI270744.1	5313	80720	1	
GL000220.1	147633	148469	-1	
GL000220.1	97136	122360	1	
GL000220.1	103657	104499	-1	
GL000009.2	39426	124849	-1	
GL000213.1	108007	139659	-1	
KI270744.1	424	6215	-1	
KI270751.1	2579	73732	-1	
KI270744.1	65348	66807	1	
KI270744.1	142831	150130	1	
KI270744.1	124346	140980	-1	
KI270711.1	31434	32450	-1	
KI270745.1	29592	38652	1	
KI270734.1	131494	137392	1	
KI270734.1	72411	74814	1	
KI270720.1	3633	31375	-1	
KI270745.1	31023	38297	-1	
KI270734.1	12391	52469	-1	
GL000213.1	127840	127946	-1	U6
GL000213.1	1096	26029	-1	
KI270734.1	90950	98156	-1	
KI270734.1	77655	81153	1	
KI270734.1	83271	85531	1	
GL000213.1	84392	86381	1	
KI270734.1	109600	110784	1	
GL000195.1	37434	37534	-1	Y_RNA
GL000195.1	42939	49164	-1	
GL000195.1	110909	121354	-1	
GL000195.1	2579	87094	-1	
GL000214.1	31951	113403	-1	
KI270743.1	68204	204482	1	
GL000218.1	51867	54893	-1	
KI270717.1	15119	17798	-1	
KI270717.1	24947	37269	1	
KI270718.1	6913	19848	-1	
GL000218.1	6104	97659	-1	
GL000009.2	82837	122979	1	
GL000009.2	43294	56215	1	
KI270713.1	30437	30580	-1	U1
GL000009.2	184591	186420	-1	
KI270713.1	35407	35916	1	
KI270713.1	31698	32528	-1	
KI270713.1	21861	22024	-1	U1
KI270726.1	41444	41876	1	
KI270713.1	13389	25193	1	
KI270726.1	26241	26534	1	
GL000194.1	53590	115018	-1	
KI270722.1	183300	187489	1	
KI270726.1	3639	14314	-1	
GL000194.1	53594	115055	-1	MAFIP
